pension_fund_name,pension_fund_state,fund_name,general_partner,asset_class,sub_strategy,vintage_year,commitment_mm,capital_called_mm,capital_distributed_mm,remaining_value_mm,net_irr,net_multiple,dpi,as_of_date,source_url,source_document,extraction_method,extraction_confidence
CalPERS,CA,ASF VIII B,ASF,Private Equity,,2020,300.0,239.832449,76.46552199999999,256.825292,0.1430,1.3897,0.3188,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,Accel-KKR Capital Partners VII,Accel-KKR,Private Equity,Venture Capital,2025,180.0,2.515603,0.0,0.0,,0.0,0.0,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,Acrew Capital Fund III,Acrew Capital,Private Equity,Venture Capital,2024,70.0,12.648841,0.0,11.001215,,0.8697,0.0,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,Acrew Diversify Capital Fund II,Acrew Diversify,Private Equity,,2024,50.0,3.044793,0.0,2.031443,,0.6672,0.0,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,Advent Global Technology II Limited Partnership,Advent Global Technology,Private Equity,,2022,150.0,102.024862,0.0,126.464715,0.1261,1.2395,0.0,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,Advent International GPE IX Limited Partnership,Advent International,Private Equity,Buyout,2019,550.0,525.249416,152.79452899999998,671.8998509999999,0.1390,1.5701,0.2909,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,Advent International GPE V-D,Advent International,Private Equity,Buyout,2005,80.804238,77.609736,187.471024,0.0,0.4270,2.4156,2.4156,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,Advent International GPE VI-A,Advent International,Private Equity,Buyout,2008,500.0,502.306204,1006.375016,36.21947900000009,0.1630,2.0756,2.0035,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,Advent International GPE VII-C,Advent International,Private Equity,Buyout,2012,450.0,432.732784,733.7609659999999,47.18982900000003,0.1320,1.8047,1.6956,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,Advent International GPE VIII-B Limited Partnership,Advent International,Private Equity,Buyout,2016,500.0,500.0,658.834015,383.2477289999998,0.1590,2.0842,1.3177,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,Advent International GPE X Limited Partnership,Advent International,Private Equity,Buyout,2022,650.0,336.44379,0.0,403.860838,0.1321,1.2004,0.0,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,AlpInvest Secondaries Fund (onshore) VII,AlpInvest,Private Equity,Secondaries,2021,373.89370199999996,369.919723,218.254515,285.4296039999999,0.1581,1.3616,0.59,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,Amberbrook IX,Amberbrook,Private Equity,,2023,150.0,82.892917,5.45653,121.731179,,1.5344,0.0658,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,American Industrial Partners Capital Fund VIII,American Industrial,Private Equity,,2024,200.0,100.5453,3.8980279999999996,104.099178,,1.0741,0.0388,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,Apollo European Principal Finance Fund,Apollo,Private Equity,Buyout,2008,89.556629,165.281284,200.770615,0.10867600000000266,0.1190,1.2154,1.2147,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,Apollo Investment Fund IV,Apollo,Private Equity,Buyout,1998,150.0,154.08531499999998,254.289011,0.03944500000000062,0.0850,1.6506,1.6503,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,Apollo Investment Fund IX,Apollo,Private Equity,Buyout,2019,550.0,535.168083,298.39356399999997,535.317773,0.1720,1.5578,0.5576,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,Apollo Investment Fund VI,Apollo,Private Equity,Buyout,2006,520.0,866.3571049999999,1218.4176439999999,8.841223000000127,0.0820,1.4166,1.4064,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,Apollo Investment Fund VIII,Apollo,Private Equity,Buyout,2013,350.0,497.808561,621.41481,89.65706,0.0880,1.4284,1.2483,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,Apollo Investment Fund X,Apollo,Private Equity,Buyout,2023,225.0,81.065209,14.009521999999999,80.24846899999999,,1.1627,0.1728,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,Apollo Special Opportunities Managed Account,Apollo,Private Equity,Opportunistic,2007,800.0,800.0,1092.6752219999998,5.732783000000154,0.0380,1.373,1.3658,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,ArcLight Energy Partners Fund III,ArcLight,Private Equity,Energy,2006,200.0,212.31217999999998,314.980433,0.0,0.0860,1.4836,1.4836,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,ArcLight Energy Partners Fund IV,ArcLight,Private Equity,Energy,2007,250.0,255.794752,388.365992,0.481679999999983,0.1260,1.5202,1.5183,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,Ares Corporate Opportunities Fund III,Ares,Private Equity,Opportunistic,2008,400.0,512.078628,1059.4186909999999,1.1611310000000685,0.2020,2.0711,2.0689,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,Ares Corporate Opportunities Fund V,Ares,Private Equity,Opportunistic,2017,425.0,477.16238999999996,218.196668,386.904641,0.0570,1.2681,0.4573,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,Ares Corporate Opportunities Fund VI,Ares,Private Equity,Opportunistic,2021,250.0,288.22416799999996,102.87130099999999,296.792597,0.1621,1.3866,0.3569,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,Arlington Capital Partners VI,Arlington,Private Equity,,2023,300.0,200.31842699999999,10.210739,220.669686,,1.1526,0.051,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,Arsenal Capital Partners Growth,Arsenal Capital Partners Growth,Private Equity,Growth Equity,2022,50.0,21.660662,0.032924,14.514859,-0.2271,0.6716,0.0015,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,Arsenal Capital Partners VI,Arsenal,Private Equity,,2022,150.0,82.922167,1.592744,63.11792499999999,-0.1571,0.7804,0.0192,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,Asia Alternatives Capital Partners,Asia Alternatives,Private Equity,,2007,50.0,53.499274,94.50117399999999,1.1870540000000034,0.1100,1.7886,1.7664,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,Asia Alternatives Capital Partners II,Asia Alternatives,Private Equity,,2008,48.933451,50.415824,124.16884499999999,2.464095999999998,0.1670,2.5118,2.4629,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,B Capital Ascent Fund III,B Capital Ascent,Private Equity,,2024,94.15134599999999,8.950512999999999,0.007324,11.796206999999999,,1.3188,0.0008,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,B Capital Global Growth III,B Capital Global Growth,Private Equity,Growth Equity,2023,67.5,51.123943,2.4467529999999997,54.781482,,1.1194,0.0479,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,B Capital Opportunities Fund II,B Capital,Private Equity,Opportunistic,2024,240.0,19.541878,0.0,36.220008,,1.8535,0.0,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,BC CLP INVESTORS,BC CLP,Private Equity,,2023,1700.0,1043.5137849999999,5.290954999999999,1222.351102,,1.1765,0.0051,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,BDC III C,BDC,Private Equity,,2017,130.986772,120.201932,297.17134799999997,120.79662100000002,0.3840,3.4772,2.4723,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,BDC IV D,BDC,Private Equity,,2021,202.184418,164.515998,0.0,185.65050499999998,0.0661,1.1285,0.0,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,BE VI 'H',BE 'H',Private Equity,,2019,391.85387499999996,376.217628,128.765859,520.30778,0.1630,1.7253,0.3423,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,BOND III,BOND,Private Equity,,2022,75.0,35.1,0.0,33.808333999999995,-0.0391,0.9632,0.0,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,BRV Lotus Fund III,BRV Lotus,Private Equity,,2022,100.0,101.419619,6.539873999999999,106.910371,0.0441,1.1186,0.0645,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,BVP Forge Institutional,BVP Forge Institutional,Private Equity,,2023,35.0,17.810745,0.0,20.923558999999997,,1.1748,0.0,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,Bain Capital Asia Fund V,Bain Capital,Private Equity,Buyout,2023,300.0,117.390237,14.181591,130.277424,,1.2306,0.1208,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,"Bain Capital Europe Fund VI, SCSp",Bain Capital,Private Equity,Buyout,2023,161.79581299999998,58.501687999999994,0.0,65.592072,,1.1212,0.0,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,Bain Capital Insurance Fund,Bain Capital,Private Equity,Buyout,2023,125.0,61.100635999999994,8.192494,71.789472,,1.309,0.1341,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,Bain Capital Life Sciences Fund IV,Bain Capital,Private Equity,Buyout,2024,100.0,5.0,0.0,0.002626,,0.0005,0.0,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,Bain Capital Tech Opportunities Fund II,Bain Capital,Private Equity,Opportunistic,2023,150.0,85.094837,4.692746,99.56285,,1.2252,0.0551,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,Bain Capital Venture Coinvestment Fund IV,Bain Capital,Private Equity,Co-Investment,2023,150.0,76.875,0.0,83.969568,,1.0923,0.0,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,Bain Capital Venture Fund 2022,Bain Capital,Private Equity,Venture Capital,2023,150.0,69.385572,0.0,88.102019,,1.2697,0.0,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,"Balderton Capital Growth II, S.","Balderton Capital Growth , S.",Private Equity,Growth Equity,2024,63.0,17.830672,0.0,17.077175999999998,,0.9577,0.0,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,"Balderton Capital IX, S.","Balderton Capital , S.",Private Equity,,2024,56.0,11.119727,0.0,9.79106,,0.8805,0.0,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,Baring Vostok Private Equity Fund IV L.P. / Supplemental,Baring Vostok Private Equity Fund L.P. / Supplemental,Private Equity,,2007,77.77499999999999,91.865849,99.39400599999999,0.7079670000000107,0.0160,1.0897,1.0819,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,Base10 Partners III,Base10,Private Equity,,2022,50.0,28.401593,0.0,27.616391999999998,-0.0171,0.9724,0.0,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,Base10 Series B I,Base10 Series B,Private Equity,,2023,50.0,24.449999,0.0,22.680253,,0.9276,0.0,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,Bay State Partners,Bay State,Private Equity,,2022,157.955774,146.395291,0.0,184.262039,0.1431,1.2587,0.0,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,Bear Coast (CV) Fund,Bear Coast,Private Equity,,2023,300.0,191.0,0.0,248.603514,,1.3016,0.0,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,Bear Coast (Ventures) Fund,Bear Coast,Private Equity,Venture Capital,2023,650.0,641.733302,0.0,727.1999099999999,,1.1332,0.0,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,Bear Technology Fund,Bear Technology,Private Equity,,2021,100.0,95.49507,0.0,81.09989499999999,-0.0621,0.8493,0.0,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,Berkshire Fund X,Berkshire,Private Equity,,2021,305.107189,396.185515,166.67068799999998,270.178084,0.0661,1.1026,0.4207,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,Bessemer Venture Partners XII Institutional,Bessemer Venture Partners,Private Equity,Venture Capital,2024,115.0,21.054195,0.0,18.901761,,0.8978,0.0,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,Biogeneration Capital Fund V Cooperatief U.A.,Biogeneration,Private Equity,,2023,21.535859,6.306731999999999,0.0,7.548598999999999,,1.1969,0.0,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,Birch Hill Equity Partners (US) III,Birch Hill Equity Partners,Private Equity,,2005,126.829933,142.696482,271.382079,0.0,0.1210,1.9018,1.9018,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,Birch Hill Equity Partners (US) IV,Birch Hill Equity Partners,Private Equity,,2011,136.51888499999998,132.11406499999998,290.92161899999996,65.164335,0.1570,2.6953,2.202,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,BjorkTree AB,BjorkTree AB,Private Equity,,2024,107.362442,20.997752,0.0,24.053442,,1.1455,0.0,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,Blackstone Capital Partners V,Blackstone,Private Equity,Buyout,2006,38.4,794.8228469999999,1222.73711,0.0,0.0780,1.5384,1.5384,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,Blackstone Capital Partners VI,Blackstone,Private Equity,Buyout,2011,375.0,544.078975,887.670171,90.227845,0.1240,1.7973,1.6315,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,Blackstone Capital Partners VII,Blackstone,Private Equity,Buyout,2016,375.0,534.136336,623.246616,320.2133369999999,0.1550,1.7663,1.1668,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,Blackstone Capital Partners VIII,Blackstone,Private Equity,Buyout,2021,262.5,421.774898,276.860548,242.09135400000002,0.1351,1.2304,0.6564,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,Blackstone Communications Partners I,Blackstone,Private Equity,Buyout,2000,100.0,111.24201699999999,136.083476,0.03140500000000657,0.0650,1.2236,1.2233,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,Blackstone Core Equity Partners II,Blackstone,Private Equity,Buyout,2021,1000.0,452.202883,56.265907999999996,552.615589,0.1351,1.3465,0.1244,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,Blackstone Tactical Opportunities Fund - C,Blackstone,Private Equity,Opportunistic,2012,800.0,993.8309069999999,1328.7485809999998,20.747027000000116,0.0940,1.3579,1.337,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,Blackstone Tactical Opportunities Fund II - C,Blackstone,Private Equity,Opportunistic,2015,500.0,497.320314,655.270749,91.82213999999999,0.1270,1.5022,1.3176,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,Blackstone Tactical Opportunities Fund III-C,Blackstone,Private Equity,Opportunistic,2018,175.0,360.22279199999997,315.953969,156.10731400000003,0.1170,1.3105,0.8771,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,Blackstone Tactical Opportunities Fund III-C (Surge),Blackstone,Private Equity,Opportunistic,2019,500.0,492.58872399999996,181.21355,530.629279,0.1370,1.4451,0.3679,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,Blackwell Capital Partners,Blackwell,Private Equity,,2023,1620.093396,711.303155,2.3546069999999997,871.240377,,1.2282,0.0033,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,Bridgepoint Europe III 'C',Bridgepoint,Private Equity,Buyout,2015,25.889018999999998,16.760648,18.955256,0.9547440000000016,0.0410,1.1879,1.1309,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,Bridgepoint Europe III 'D',Bridgepoint,Private Equity,Buyout,2005,194.303235,191.932333,228.56394799999998,5.682649999999995,0.0240,1.2205,1.1909,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,Bridgepoint Europe IV 'B',Bridgepoint,Private Equity,Buyout,2015,82.859439,67.960669,84.60153299999999,9.798461000000003,0.1190,1.389,1.2449,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
CalPERS,CA,Bridgepoint Europe IV 'D',Bridgepoint,Private Equity,Buyout,2008,388.49199,391.60538399999996,567.693618,37.20625199999995,0.0930,1.5447,1.4497,2025-03-31,https://www.calpers.ca.gov/investments/about-investment-office/investment-organization/pep-fund-performance-print,CalPERS PEP Fund Performance Review,deterministic_html,1.0
