fund_name,general_partner,vintage_year,asset_class,sub_strategy,pension_fund_count,pension_funds,total_commitment_mm,avg_net_irr,avg_net_multiple
ACON Equity Partners 3.5,ACON,2012,Private Equity,,2,"CalSTRS,NY Common",310.00,0.0739,1.4839
ACON Equity Partners IV,ACON,2016,Private Equity,,3,"CalSTRS,Oregon,NY Common",562.50,0.0868,1.5166
AEP IV OPERF Co-Investments,AEP OPERF Co-Investments,2018,Private Equity,Co-Investment,1,Oregon,37.50,0.0620,1.3900
AMZL,AMZL,2023,Private Equity,,1,CalPERS,600.00,,0.7163
ARCH Venture Fund VI,ARCH Venture,2004,Private Equity,Venture Capital,1,CalSTRS,30.00,0.0242,1.2447
ASF IX B,ASF,2022,Private Equity,,1,CalSTRS,250.00,0.2700,1.2149
ASF Miller Direct B,ASF Miller Direct,2014,Private Equity,,1,NY Common,80.00,,1.4522
ASF VII B,ASF,2015,Private Equity,,1,CalSTRS,250.00,0.1305,1.5441
ASF VIII B,ASF,2020,Private Equity,,2,"CalPERS,CalSTRS",800.00,0.1399,1.4005
Accel-KKR Capital Partners VII,Accel-KKR,2025,Private Equity,Venture Capital,1,CalPERS,180.00,,0.0000
Accel-KKR Company,Accel-KKR,2000,Private Equity,Venture Capital,1,WSIB,50.00,0.0815,2.3000
Access/NY European Middle Market Buyout Fund,Access/NY European Middle Market,2005,Private Equity,Buyout,1,NY Common,810.47,,1.2612
Access/NY European Middle Market Buyout Fund II,Access/NY European Middle Market,2011,Private Equity,Buyout,1,NY Common,432.25,,1.7102
Acrew Capital Fund III,Acrew Capital,2024,Private Equity,Venture Capital,1,CalPERS,70.00,,0.8697
Acrew Diversify Capital Fund II,Acrew Diversify,2024,Private Equity,,1,CalPERS,50.00,,0.6672
Actis Global 4,Actis,2012,Private Equity,Buyout,1,WSIB,250.00,0.0459,1.2000
Advent Central & Eastern Europe IV,Advent Central & Eastern Europe,2008,Private Equity,,1,CalSTRS,88.04,-0.0947,0.6353
Advent Global Technology,Advent Global Technology,2020,Private Equity,,2,"CalSTRS,Oregon",150.00,0.0947,1.4711
Advent Global Technology II,Advent Global Technology,2022,Private Equity,,2,"CalSTRS,Oregon",200.00,0.1463,1.3485
Advent Global Technology II Limited Partnership,Advent Global Technology,2022,Private Equity,,1,CalPERS,150.00,0.1261,1.2395
Advent Global Technology III,Advent Global Technology,2025,Private Equity,,1,Oregon,100.00,,
Advent International GPE IX,Advent International,2019,Private Equity,Buyout,3,"CalSTRS,WSIB,Oregon",1000.00,0.1437,1.6665
Advent International GPE IX Limited Partnership,Advent International,2019,Private Equity,Buyout,1,CalPERS,550.00,0.1390,1.5701
Advent International GPE V-D,Advent International,2005,Private Equity,Buyout,1,CalPERS,80.80,0.4270,2.4156
Advent International GPE VI-A,Advent International,2008,Private Equity,Buyout,4,"CalPERS,CalSTRS,WSIB,Oregon",969.78,0.1583,2.0419
Advent International GPE VII-C,Advent International,2012,Private Equity,Buyout,3,"CalPERS,WSIB,Oregon",900.00,0.1318,1.8049
Advent International GPE VIII-B Limited Partnership,Advent International,2016,Private Equity,Buyout,1,CalPERS,500.00,0.1590,2.0842
Advent International GPE VIII-D,Advent International,2016,Private Equity,Buyout,2,"CalSTRS,WSIB",650.00,0.1576,2.0960
Advent International GPE X,Advent International,2022,Private Equity,Buyout,2,"CalSTRS,Oregon",500.00,0.1880,1.3672
Advent International GPE X Limited Partnership,Advent International,2022,Private Equity,Buyout,2,"CalPERS,WSIB",1250.00,0.1595,1.2502
Advent International GPE XI SCSp,Advent International,2025,Private Equity,Buyout,1,Oregon,250.00,,
Advent International GPE XI-E SCSp,Advent International,,Private Equity,Buyout,1,WSIB,500.00,,
Advent LatAm PE Fund VII SCSP,Advent LatAm PE,2021,Private Equity,,1,CalSTRS,150.00,0.0741,1.1942
Advent Latin American Private Equity Fund IV,Advent Latin American Private Equity,2007,Private Equity,,1,WSIB,25.00,0.0870,1.5000
Advent Latin American Private Equity Fund V,Advent Latin American Private Equity,2010,Private Equity,,1,WSIB,100.00,0.0130,1.1000
Advent Latin American Private Equity Fund VI-H,Advent Latin American Private Equity Fund -H,2015,Private Equity,,2,"WSIB,Oregon",235.00,0.1271,1.8400
Advent Latin American Private Equity Fund VII,Advent Latin American Private Equity,2020,Private Equity,,1,Oregon,150.00,0.0730,1.2100
Advent Latin American Private Equity Fund VII SCSp,Advent Latin American Private Equity,2021,Private Equity,,1,WSIB,200.00,0.0741,1.2000
Affinity Asia Pacific Fund III,Affinity Asia Pacific,2007,Private Equity,,2,"CalSTRS,WSIB",250.00,0.0898,1.4206
Affinity Asia Pacific Fund IV,Affinity Asia Pacific,2013,Private Equity,,2,"WSIB,NY Common",600.00,0.1428,1.7478
Affinity Asia Pacific Fund V,Affinity Asia Pacific,2017,Private Equity,,1,NY Common,700.00,,1.2622
Affinity Asia Pacific Fund V (NO.2),Affinity Asia Pacific,2018,Private Equity,,2,"CalSTRS,WSIB",550.00,0.0685,1.1938
Aisling Capital II,Aisling,2005,Private Equity,,1,NY Common,70.00,,1.0459
Aisling Capital III,Aisling,2008,Private Equity,,1,NY Common,90.00,,2.2633
Alchemy Special Opportunities Fund III,Alchemy,2014,Private Equity,Opportunistic,1,CalSTRS,54.81,0.0753,1.5360
Alchemy Special Opportunities Fund IV,Alchemy,2019,Private Equity,Opportunistic,1,CalSTRS,92.50,0.1578,1.5628
AlpInvest C Fund,AlpInvest,2018,Private Equity,Fund of Funds,1,CalSTRS,725.00,0.1488,1.8339
AlpInvest C Fund II,AlpInvest,2021,Private Equity,Fund of Funds,1,CalSTRS,1000.00,0.1765,1.4687
AlpInvest Co-Investment Fund (Onshore) VII,AlpInvest,2017,Private Equity,Co-Investment,1,CalSTRS,150.00,0.1355,1.7702
AlpInvest Co-Investment Fund (Onshore) VIII,AlpInvest,2021,Private Equity,Co-Investment,1,CalSTRS,250.00,0.1105,1.3214
AlpInvest Secondaries Fund (onshore) VII,AlpInvest,2021,Private Equity,Secondaries,1,CalPERS,373.89,0.1581,1.3616
Alpine Investors IX,Alpine,2023,Private Equity,,1,Oregon,200.00,,1.1100
Alpine Investors VIII,Alpine,2021,Private Equity,,1,Oregon,100.00,0.1670,1.5000
Alta Communications IX,Alta Communications,2003,Private Equity,,1,CalSTRS,40.00,-0.0124,0.9010
Altaris Health Partners VI,Altaris Health,2023,Private Equity,,1,NY Common,350.00,,
Altaris VI-5084 Co-Invest,Altaris -5084,2024,Private Equity,Co-Investment,1,NY Common,60.00,,
Amberbrook IX,Amberbrook,2023,Private Equity,,1,CalPERS,150.00,,1.5344
American Industrial Partners Capital Fund VIII,American Industrial,2024,Private Equity,,1,CalPERS,200.00,,1.0741
Apax Europe IV-A,Apax,1999,Private Equity,Buyout,1,WSIB,168.52,0.0716,1.3000
Apax Europe V-A,Apax,2001,Private Equity,Buyout,1,WSIB,111.91,0.3619,2.1000
Apax Europe VI - A,Apax,2005,Private Equity,Buyout,1,CalSTRS,293.46,0.1268,2.0292
Apax Europe VII,Apax,2007,Private Equity,Buyout,3,"CalSTRS,WSIB,Oregon",804.94,0.0426,1.2369
Apax IX,Apax,2016,Private Equity,Buyout,1,Oregon,250.00,0.1610,1.7900
Apax IX USD,Apax,2017,Private Equity,Buyout,2,"CalSTRS,WSIB",550.00,0.1783,1.9045
Apax VIII,Apax,2012,Private Equity,Buyout,1,WSIB,255.47,0.1259,1.6000
Apax VIII USD,Apax,2012,Private Equity,Buyout,1,Oregon,150.40,0.1240,1.6200
Apax X,Apax,2020,Private Equity,Buyout,1,WSIB,350.00,0.0921,1.3000
Apax X USD,Apax,2020,Private Equity,Buyout,1,CalSTRS,250.00,0.0988,1.3063
Apax XI,Apax,2024,Private Equity,Buyout,1,WSIB,300.00,0.2442,1.2000
Apax XI USD,Apax,2024,Private Equity,Buyout,1,CalSTRS,150.00,0.2383,1.1609
Apollo European Principal Finance Fund,Apollo,2008,Private Equity,Buyout,1,CalPERS,89.56,0.1190,1.2154
Apollo Hybrid Value Fund II,Apollo,2021,Private Equity,Buyout,1,CalSTRS,250.00,0.1125,1.2218
Apollo Impact Mision Fund,Apollo,2021,Private Equity,Buyout,1,NY Common,300.00,,1.1647
Apollo Investment Fund IV,Apollo,1998,Private Equity,Buyout,2,"CalPERS,NY Common",550.00,0.0850,1.6519
Apollo Investment Fund IX,Apollo,2019,Private Equity,Buyout,3,"CalPERS,CalSTRS,NY Common",1810.00,0.1631,1.5350
Apollo Investment Fund V,Apollo,2000,Private Equity,Buyout,1,NY Common,300.00,,1.9916
Apollo Investment Fund VI,Apollo,2006,Private Equity,Buyout,4,"CalPERS,CalSTRS,Oregon,NY Common",1670.00,0.0846,1.5136
Apollo Investment Fund VII,Apollo,2008,Private Equity,Buyout,3,"CalSTRS,Oregon,NY Common",1100.00,0.2252,1.8262
Apollo Investment Fund VIII,Apollo,2013,Private Equity,Buyout,3,"CalPERS,Oregon,NY Common",1550.00,0.0985,1.4536
Apollo Investment Fund X,Apollo,2023,Private Equity,Buyout,3,"CalPERS,CalSTRS,NY Common",1225.00,0.1914,1.1446
Apollo Natural Resources Partners,Apollo,2012,Real Assets,Natural Resources,1,NY Common,400.00,,0.9294
Apollo Natural Resources Partners II,Apollo,2015,Real Assets,Natural Resources,1,NY Common,800.00,,1.2550
Apollo Special Opportunities Managed Account,Apollo,2007,Private Equity,Opportunistic,1,CalPERS,800.00,0.0380,1.3730
Aquiline Financial Services Fund,Aquiline Financial Services,2005,Private Equity,,1,Oregon,200.00,0.0740,1.6900
Aquiline Financial Services Fund II,Aquiline Financial Services,2010,Private Equity,,1,Oregon,100.00,0.0590,1.3300
Aquiline Financial Services Fund III,Aquiline Financial Services,2015,Private Equity,,1,Oregon,100.00,0.3010,2.3100
Aquiline Financial Services Fund IV,Aquiline Financial Services,2019,Private Equity,,1,Oregon,200.00,0.1280,1.5800
Aquiline Financial Services Fund V,Aquiline Financial Services,2022,Private Equity,,1,Oregon,200.00,,1.2900
Aquiline Oregon Co-Investment Fund,Aquiline Oregon Co-Investment,2019,Private Equity,Co-Investment,1,Oregon,50.00,0.1700,2.0200
Ara Fund III,Ara,2023,Private Equity,,1,WSIB,200.00,-0.1024,0.9000
ArcLight Energy Partners Fund III,ArcLight,2006,Private Equity,Energy,1,CalPERS,200.00,0.0860,1.4836
ArcLight Energy Partners Fund IV,ArcLight,2007,Private Equity,Energy,1,CalPERS,250.00,0.1260,1.5202
Ares Corporate Opportunities Fund,Ares,2004,Private Equity,Opportunistic,1,NY Common,50.00,,1.4577
Ares Corporate Opportunities Fund III,Ares,2008,Private Equity,Opportunistic,2,"CalPERS,NY Common",600.00,0.2020,2.0824
Ares Corporate Opportunities Fund IV,Ares,2012,Private Equity,Opportunistic,2,"CalSTRS,NY Common",450.00,0.1396,1.8647
Ares Corporate Opportunities Fund V,Ares,2017,Private Equity,Opportunistic,3,"CalPERS,CalSTRS,NY Common",1325.00,0.0583,1.2979
Ares Corporate Opportunities Fund VI,Ares,2021,Private Equity,Opportunistic,2,"CalPERS,NY Common",650.00,0.1621,1.3417
Ares Corporate Opportunities VI,Ares,2020,Private Equity,Opportunistic,1,CalSTRS,200.00,0.1558,1.4206
Ares Special Opportunities Fund,Ares,2020,Private Equity,Opportunistic,1,CalSTRS,50.00,0.1465,1.5410
Ares Special Opportunities Fund II,Ares,2022,Private Equity,Opportunistic,1,CalSTRS,100.00,0.1341,1.2626
Ares Special Opportunities III,Ares,2025,Private Equity,Opportunistic,1,CalSTRS,150.00,0.0000,
Arlington Capital Partners VI,Arlington,2023,Private Equity,,1,CalPERS,300.00,,1.1526
Armory Square Ventures II,Armory Square,2019,Private Equity,Venture Capital,1,NY Common,20.00,,0.6822
Armory Square Ventures III,Armory Square,2023,Private Equity,Venture Capital,1,NY Common,30.00,,0.6784
Arsenal Capital Partners Growth,Arsenal Capital Partners Growth,2022,Private Equity,Growth Equity,3,"CalPERS,CalSTRS,Oregon",150.00,-0.2176,0.6806
Arsenal Capital Partners IV,Arsenal,2016,Private Equity,,1,CalSTRS,83.00,0.1606,1.8812
Arsenal Capital Partners V,Arsenal,2019,Private Equity,,1,CalSTRS,135.00,0.0677,1.3268
Arsenal Capital Partners VI,Arsenal,2022,Private Equity,,3,"CalPERS,CalSTRS,Oregon",500.00,-0.0968,0.8561
Ascent Biomedical Ventures NY I,Ascent Biomedical Ventures NY,2005,Private Equity,Venture Capital,1,NY Common,30.00,,0.8086
Ascent Biomedical Ventures NY II,Ascent Biomedical Ventures NY,2008,Private Equity,Venture Capital,1,NY Common,50.00,,0.4830
Asia Alternatives Capital Partners,Asia Alternatives,2007,Private Equity,,1,CalPERS,50.00,0.1100,1.7886
Asia Alternatives Capital Partners II,Asia Alternatives,2008,Private Equity,,2,"CalPERS,NY Common",148.93,0.1670,2.5218
Asia Alternatives Capital Partners III,Asia Alternatives,2011,Private Equity,,1,NY Common,100.00,,1.6895
Asia Alternatives Capital Partners IV,Asia Alternatives,2014,Private Equity,,1,NY Common,97.89,,1.6174
Asia Opportunity Fund II,Asia Opportunity,2005,Private Equity,Opportunistic,2,"WSIB,Oregon",200.00,0.0733,1.4100
Asia Opportunity Fund III,Asia Opportunity,2008,Private Equity,Opportunistic,1,WSIB,125.00,-0.0173,0.9000
Asia Pacific Trust,Asia Pacific Trust,1990,Private Equity,,1,Oregon,12.80,0.0260,1.1800
Asper Renewable Power Partners,Asper Renewable Power,2006,Private Equity,,1,CalSTRS,52.82,-0.0410,0.8359
Astorg II,Astorg,1999,Private Equity,Buyout,1,WSIB,23.12,0.2375,3.1000
Aurora Equity Partners II,Aurora,1998,Private Equity,,1,Oregon,50.00,0.0460,1.4000
Aurora Equity Partners III,Aurora,2004,Private Equity,,1,Oregon,50.00,0.1320,1.6500
Aurora Equity Partners VII,Aurora,2025,Private Equity,,1,NY Common,150.00,,
Aurora Resurgence Fund,Aurora Resurgence,2007,Private Equity,,1,Oregon,50.00,0.1640,1.3700
Austin Ventures IV,Austin,1994,Private Equity,Venture Capital,1,WSIB,15.00,0.7323,8.4000
Austin Ventures V,Austin,1997,Private Equity,Venture Capital,1,WSIB,15.00,0.3189,2.0000
Austin Ventures VI,Austin,1998,Private Equity,Venture Capital,1,WSIB,24.00,-0.0789,0.6000
Austin Ventures VII,Austin,1999,Private Equity,Venture Capital,1,WSIB,74.00,-0.0280,0.8000
Austin Ventures VIII,Austin,2001,Private Equity,Venture Capital,1,WSIB,66.40,0.0684,1.6000
Austin Ventures X,Austin,2008,Private Equity,Venture Capital,1,Oregon,50.00,0.0960,1.6400
Avance Investment Partners,Avance Investment,2021,Private Equity,,1,NY Common,500.00,,1.2044
Avenue Asia Special Situations Fund IV,Avenue Asia Special Situations,2006,Private Equity,Distressed/Special Situations,1,WSIB,75.00,0.0125,1.1000
Avenue Special Situations Fund IV,Avenue Special Situations,2006,Private Equity,Distressed/Special Situations,1,WSIB,100.00,0.0840,1.3000
Avenue Special Situations Fund V,Avenue Special Situations,2007,Private Equity,Distressed/Special Situations,1,WSIB,200.00,0.1123,1.3000
Avista Capital Partners III,Avista,2011,Private Equity,,1,Oregon,100.00,0.0000,1.0000
B Capital Ascent Fund III,B Capital Ascent,2024,Private Equity,,1,CalPERS,94.15,,1.3188
B Capital Global Growth III,B Capital Global Growth,2023,Private Equity,Growth Equity,1,CalPERS,67.50,,1.1194
B Capital Opportunities Fund II,B Capital,2024,Private Equity,Opportunistic,1,CalPERS,240.00,,1.8535
BC CLP INVESTORS,BC CLP,2023,Private Equity,,1,CalPERS,1700.00,,1.1765
BC European Capital IX,BC European,2011,Private Equity,,2,"CalSTRS,WSIB",474.39,0.1021,1.6275
BC European Capital VI,BC European,1998,Private Equity,,1,WSIB,35.30,0.2402,2.7000
BC European Capital VII,BC European,2000,Private Equity,,1,WSIB,108.15,0.2373,2.5000
BC European Capital VIII,BC European,2005,Private Equity,,2,"CalSTRS,WSIB",832.99,0.0448,1.2189
BC European Capital X-8,BC European Capital -8,2017,Private Equity,,1,CalSTRS,293.46,0.1088,1.7389
BC Partners VII,BC Partners,2000,Private Equity,Buyout,1,CalSTRS,352.15,0.2392,2.5506
BC Partners XI GE 2,BC Partners,2021,Private Equity,Buyout,1,CalSTRS,234.77,0.0879,1.2260
BCI Growth V,BCI Growth,1999,Private Equity,Growth Equity,1,Oregon,75.00,-0.1080,0.4700
BCP IX Supplemental Account- NY,BCP Supplemental Account- NY,2024,Private Equity,,1,NY Common,300.00,,1.0282
BCP Tac Ops III S (Surge),BCP Tac Ops S,2023,Private Equity,,1,CalSTRS,62.50,0.0000,
BDC III C,BDC,2017,Private Equity,,1,CalPERS,130.99,0.3840,3.4772
BDC IV D,BDC,2021,Private Equity,,1,CalPERS,202.18,0.0661,1.1285
BDCM Opportunity Fund,BDCM Opportunity,2001,Private Equity,Opportunistic,1,Oregon,50.00,0.1980,1.4300
BDCM Opportunity Fund II,BDCM Opportunity,2005,Private Equity,Opportunistic,1,Oregon,100.00,0.1830,2.8000
BE VI 'H',BE 'H',2019,Private Equity,,1,CalPERS,391.85,0.1630,1.7253
BGH Capital Fund I,BGH,2019,Private Equity,,1,WSIB,245.34,0.0753,1.3000
BGH Capital Fund II,BGH,2024,Private Equity,,1,WSIB,308.22,-0.3964,0.7000
BOND III,BOND,2022,Private Equity,,1,CalPERS,75.00,-0.0391,0.9632
BRV Lotus Fund III,BRV Lotus,2022,Private Equity,,1,CalPERS,100.00,0.0441,1.1186
BRV Opportunities Fund,BRV,2015,Private Equity,Opportunistic,1,CalSTRS,2.71,-0.0186,0.8904
BRV VI,BRV,2017,Private Equity,,1,CalSTRS,19.16,0.1289,1.9315
BVP Forge Institutional,BVP Forge Institutional,2023,Private Equity,,2,"CalPERS,CalSTRS",55.00,0.1722,1.2336
Bain Capital Asia Fund II,Bain Capital,2012,Private Equity,Buyout,1,CalSTRS,75.00,0.1655,2.0850
Bain Capital Asia Fund III,Bain Capital,2016,Private Equity,Buyout,1,CalSTRS,125.00,0.1903,1.9073
Bain Capital Asia Fund V,Bain Capital,2023,Private Equity,Buyout,2,"CalPERS,CalSTRS",450.00,0.3636,1.2778
"Bain Capital Europe Fund VI, SCSp",Bain Capital,2023,Private Equity,Buyout,2,"CalPERS,CalSTRS",220.49,0.2407,1.1807
Bain Capital Fund X,Bain Capital,2008,Private Equity,Buyout,1,CalSTRS,400.00,0.0880,1.6001
Bain Capital Insurance Fund,Bain Capital,2023,Private Equity,Buyout,1,CalPERS,125.00,,1.3090
Bain Capital Life Sciences Fund IV,Bain Capital,2024,Private Equity,Buyout,1,CalPERS,100.00,,0.0005
Bain Capital Tech Opportunities Fund II,Bain Capital,2023,Private Equity,Opportunistic,1,CalPERS,150.00,,1.2252
Bain Capital Venture Coinvestment Fund IV,Bain Capital,2023,Private Equity,Co-Investment,1,CalPERS,150.00,,1.0923
Bain Capital Venture Fund 2022,Bain Capital,2023,Private Equity,Venture Capital,1,CalPERS,150.00,,1.2697
"Balderton Capital Growth II, S.","Balderton Capital Growth , S.",2024,Private Equity,Growth Equity,1,CalPERS,63.00,,0.9577
"Balderton Capital IX, S.","Balderton Capital , S.",2024,Private Equity,,1,CalPERS,56.00,,0.8805
Banc Fund IV,Banc,1996,Private Equity,,1,WSIB,20.00,0.1559,2.3000
Banc Fund IX,Banc,2014,Private Equity,,1,WSIB,100.00,0.0606,1.5000
Banc Fund V,Banc,1998,Private Equity,,1,WSIB,30.00,0.1557,2.3000
Banc Fund VII,Banc,2005,Private Equity,,1,WSIB,32.15,0.0391,1.5000
Banc Fund VIII,Banc,2008,Private Equity,,1,WSIB,85.00,0.1273,2.1000
Banc Fund X,Banc,2018,Private Equity,,1,WSIB,100.32,0.0533,1.3000
Baring Vostok Private Equity Fund IV L.P. / Supplemental,Baring Vostok Private Equity Fund L.P. / Supplemental,2007,Private Equity,,1,CalPERS,77.77,0.0160,1.0897
Base10 Partners III,Base10,2022,Private Equity,,1,CalPERS,50.00,-0.0171,0.9724
Base10 Series B I,Base10 Series B,2023,Private Equity,,1,CalPERS,50.00,,0.9276
Bay State Partners,Bay State,2022,Private Equity,,1,CalPERS,157.96,0.1431,1.2587
Beacon Group Energy Investment Fund II,ACON,1998,Private Equity,Energy,1,NY Common,110.84,,1.4402
Bear Coast (CV) Fund,Bear Coast,2023,Private Equity,,1,CalPERS,300.00,,1.3016
Bear Coast (Ventures) Fund,Bear Coast,2023,Private Equity,Venture Capital,1,CalPERS,650.00,,1.1332
Bear Technology Fund,Bear Technology,2021,Private Equity,,1,CalPERS,100.00,-0.0621,0.8493
Berkshire Fund X,Berkshire,2021,Private Equity,,1,CalPERS,305.11,0.0661,1.1026
Bessemer Venture Partners XII,Bessemer Venture Partners,2024,Private Equity,Venture Capital,1,CalSTRS,30.00,-0.0453,0.9716
Bessemer Venture Partners XII Institutional,Bessemer Venture Partners,2024,Private Equity,Venture Capital,1,CalPERS,115.00,,0.8978
Big Apple Investors,Big Apple,2015,Private Equity,,1,NY Common,11.87,,1.1615
Biogeneration Capital Fund V Cooperatief U.A.,Biogeneration,2023,Private Equity,,1,CalPERS,21.54,,1.1969
Birch Hill Equity Partners (US) III,Birch Hill Equity Partners,2005,Private Equity,,1,CalPERS,126.83,0.1210,1.9018
Birch Hill Equity Partners (US) IV,Birch Hill Equity Partners,2011,Private Equity,,1,CalPERS,136.52,0.1570,2.6953
BjorkTree AB,BjorkTree AB,2024,Private Equity,,1,CalPERS,107.36,,1.1455
BlackRock Asset Investors,BlackRock,1995,Private Equity,,1,WSIB,100.00,0.2188,1.4000
Blackstone Capital Partners Asia,Blackstone,2018,Private Equity,Buyout,1,WSIB,200.00,0.2389,2.0000
Blackstone Capital Partners Asia II,Blackstone,2022,Private Equity,Buyout,2,"CalSTRS,WSIB",500.00,0.3995,1.7770
Blackstone Capital Partners IV,Blackstone,2003,Private Equity,Buyout,2,"CalSTRS,NY Common",800.00,0.3595,2.5734
Blackstone Capital Partners IX,Blackstone,2024,Private Equity,Buyout,1,NY Common,300.00,,
Blackstone Capital Partners V,Blackstone,2006,Private Equity,Buyout,4,"CalPERS,CalSTRS,WSIB,NY Common",3388.40,0.0833,1.6509
Blackstone Capital Partners VI,Blackstone,2011,Private Equity,Buyout,5,"CalPERS,CalSTRS,WSIB,Oregon,NY Common",1775.00,0.1228,1.8319
Blackstone Capital Partners VII,Blackstone,2016,Private Equity,Buyout,5,"CalPERS,CalSTRS,WSIB,Oregon,NY Common",2725.00,0.1363,1.7074
Blackstone Capital Partners VIII,Blackstone,2021,Private Equity,Buyout,5,"CalPERS,CalSTRS,WSIB,Oregon,NY Common",3262.50,0.1104,1.2547
Blackstone Communications Partners I,Blackstone,2000,Private Equity,Buyout,3,"CalPERS,CalSTRS,NY Common",450.00,0.0650,1.2220
Blackstone Core Equity Partners,Blackstone,2016,Private Equity,Buyout,1,NY Common,600.00,,2.1067
Blackstone Core Equity Partners - NY,Blackstone,2018,Private Equity,Buyout,1,NY Common,600.00,,0.8702
Blackstone Core Equity Partners CA -,Blackstone,2017,Private Equity,Buyout,1,CalSTRS,500.00,0.1587,2.1511
Blackstone Core Equity Partners II,Blackstone,2021,Private Equity,Buyout,2,"CalPERS,CalSTRS",1425.00,0.1381,1.3757
Blackstone Energy Partners II,Blackstone,2015,Private Equity,Energy,2,"CalSTRS,Oregon",300.00,0.0819,1.5092
Blackstone Energy Partners III,Blackstone,2020,Private Equity,Energy,1,CalSTRS,250.00,0.2548,1.7441
Blackstone Energy Partners IV,Blackstone,2025,Private Equity,Energy,1,CalSTRS,93.34,0.9460,1.4073
Blackstone Life Sciences V,Blackstone,2020,Private Equity,Buyout,1,CalSTRS,145.00,0.1994,1.5517
Blackstone Partners Asia III,Blackstone,2025,Private Equity,Buyout,1,CalSTRS,400.00,0.0000,
Blackstone Partners IX,Blackstone,2025,Private Equity,Buyout,1,CalSTRS,500.00,-0.0869,0.9131
Blackstone Tac Ops III S,Blackstone,2023,Private Equity,Buyout,1,CalSTRS,187.50,0.1945,1.1916
Blackstone Tactical Opportunities Fund - C,Blackstone,2012,Private Equity,Opportunistic,1,CalPERS,800.00,0.0940,1.3579
Blackstone Tactical Opportunities Fund - S,Blackstone,2017,Private Equity,Opportunistic,1,CalSTRS,250.00,0.0976,1.3969
Blackstone Tactical Opportunities Fund II - C,Blackstone,2015,Private Equity,Opportunistic,1,CalPERS,500.00,0.1270,1.5022
Blackstone Tactical Opportunities Fund II-S,Blackstone,2018,Private Equity,Opportunistic,1,CalSTRS,375.00,0.1419,1.4814
Blackstone Tactical Opportunities Fund II-S (Surge),Blackstone,2019,Private Equity,Opportunistic,1,CalSTRS,125.00,0.0897,1.3780
Blackstone Tactical Opportunities Fund III-C,Blackstone,2018,Private Equity,Opportunistic,1,CalPERS,175.00,0.1170,1.3105
Blackstone Tactical Opportunities Fund III-C (Surge),Blackstone,2019,Private Equity,Opportunistic,1,CalPERS,500.00,0.1370,1.4451
Blackwell Capital Partners,Blackwell,2023,Private Equity,,1,CalPERS,1620.09,,1.2282
Blue Run Ventures,Blue Run Ventures,2005,Private Equity,Venture Capital,1,CalSTRS,31.42,0.0550,1.4230
Blue Run Ventures IV,Blue Run Ventures,2008,Private Equity,Venture Capital,1,CalSTRS,23.60,0.2233,2.4453
Blue Run Ventures V,Blue Run Ventures,2014,Private Equity,Venture Capital,1,CalSTRS,19.01,0.0253,1.2256
Boston Ventures V,Boston Ventures,1996,Private Equity,Venture Capital,1,WSIB,39.00,0.0280,1.1000
Boston Ventures VI,Boston Ventures,2000,Private Equity,Venture Capital,1,WSIB,50.00,0.0941,1.5000
Brazos Equity Fund II,Brazos Equity,2005,Private Equity,,1,NY Common,50.00,,1.1680
